implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),0,62808.0,0
Safe (PyCryptodome),0,3299.0,0
Vulnerable (Naive),0,47296.0,1
Safe (PyCryptodome),0,3002.8,1
Vulnerable (Naive),0,42330.8,2
Safe (PyCryptodome),0,3575.0,2
Vulnerable (Naive),0,59342.2,3
Safe (PyCryptodome),0,3938.0,3
Vulnerable (Naive),0,34657.2,4
Safe (PyCryptodome),0,2657.0,4
Vulnerable (Naive),0,23563.6,5
Safe (PyCryptodome),0,2616.0,5
Vulnerable (Naive),0,40738.6,6
Safe (PyCryptodome),0,3195.6,6
Vulnerable (Naive),0,43301.2,7
Safe (PyCryptodome),0,2263.8,7
Vulnerable (Naive),0,32845.0,8
Safe (PyCryptodome),0,2311.2,8
Vulnerable (Naive),0,29112.0,9
Safe (PyCryptodome),0,2508.4,9
Vulnerable (Naive),0,25480.4,10
Safe (PyCryptodome),0,2343.6,10
Vulnerable (Naive),0,38220.6,11
Safe (PyCryptodome),0,2579.0,11
Vulnerable (Naive),0,43417.6,12
Safe (PyCryptodome),0,2552.2,12
Vulnerable (Naive),0,39028.2,13
Safe (PyCryptodome),0,6911.8,13
Vulnerable (Naive),0,49366.6,14
Safe (PyCryptodome),0,2180.8,14
Vulnerable (Naive),0,67934.6,15
Safe (PyCryptodome),0,2174.2,15
Vulnerable (Naive),0,29369.4,16
Safe (PyCryptodome),0,2480.0,16
Vulnerable (Naive),0,45731.2,17
Safe (PyCryptodome),0,3081.6,17
Vulnerable (Naive),0,36845.2,18
Safe (PyCryptodome),0,2650.2,18
Vulnerable (Naive),0,22078.0,19
Safe (PyCryptodome),0,3374.0,19
Vulnerable (Naive),0,25418.0,20
Safe (PyCryptodome),0,2520.6,20
Vulnerable (Naive),0,45386.6,21
Safe (PyCryptodome),0,5202.2,21
Vulnerable (Naive),0,53943.8,22
Safe (PyCryptodome),0,3636.2,22
Vulnerable (Naive),0,41871.4,23
Safe (PyCryptodome),0,2187.0,23
Vulnerable (Naive),0,31511.2,24
Safe (PyCryptodome),0,2170.0,24
Vulnerable (Naive),0,86860.6,25
Safe (PyCryptodome),0,5433.2,25
Vulnerable (Naive),0,63666.8,26
Safe (PyCryptodome),0,4184.2,26
Vulnerable (Naive),0,45547.2,27
Safe (PyCryptodome),0,4250.4,27
Vulnerable (Naive),0,40630.2,28
Safe (PyCryptodome),0,3193.4,28
Vulnerable (Naive),0,50463.0,29
Safe (PyCryptodome),0,3865.4,29
Vulnerable (Naive),0,36090.8,30
Safe (PyCryptodome),0,3070.2,30
Vulnerable (Naive),0,39801.8,31
Safe (PyCryptodome),0,3665.4,31
Vulnerable (Naive),0,79945.8,32
Safe (PyCryptodome),0,5981.2,32
Vulnerable (Naive),0,74962.0,33
Safe (PyCryptodome),0,4415.8,33
Vulnerable (Naive),0,39830.8,34
Safe (PyCryptodome),0,2330.4,34
Vulnerable (Naive),0,36063.2,35
Safe (PyCryptodome),0,2875.8,35
Vulnerable (Naive),0,39759.6,36
Safe (PyCryptodome),0,2418.4,36
Vulnerable (Naive),0,72069.6,37
Safe (PyCryptodome),0,5351.6,37
Vulnerable (Naive),0,52583.2,38
Safe (PyCryptodome),0,3368.4,38
Vulnerable (Naive),0,32574.0,39
Safe (PyCryptodome),0,2833.0,39
Vulnerable (Naive),0,47269.4,40
Safe (PyCryptodome),0,6118.8,40
Vulnerable (Naive),0,62290.6,41
Safe (PyCryptodome),0,2404.4,41
Vulnerable (Naive),0,43450.4,42
Safe (PyCryptodome),0,3199.8,42
Vulnerable (Naive),0,37993.2,43
Safe (PyCryptodome),0,2731.0,43
Vulnerable (Naive),0,43841.8,44
Safe (PyCryptodome),0,2403.2,44
Vulnerable (Naive),0,55252.8,45
Safe (PyCryptodome),0,2506.6,45
Vulnerable (Naive),0,63107.2,46
Safe (PyCryptodome),0,2324.2,46
Vulnerable (Naive),0,29474.8,47
Safe (PyCryptodome),0,2246.0,47
Vulnerable (Naive),0,56696.2,48
Safe (PyCryptodome),0,5115.4,48
Vulnerable (Naive),0,32107.4,49
Safe (PyCryptodome),0,4030.6,49
Vulnerable (Naive),1,45679.8,0
Safe (PyCryptodome),1,2452.4,0
Vulnerable (Naive),1,28462.8,1
Safe (PyCryptodome),1,2594.0,1
Vulnerable (Naive),1,11093.2,2
Safe (PyCryptodome),1,2685.6,2
Vulnerable (Naive),1,26461.6,3
Safe (PyCryptodome),1,2495.8,3
Vulnerable (Naive),1,34469.2,4
Safe (PyCryptodome),1,2697.4,4
Vulnerable (Naive),1,40912.2,5
Safe (PyCryptodome),1,2353.8,5
Vulnerable (Naive),1,23951.0,6
Safe (PyCryptodome),1,2345.2,6
Vulnerable (Naive),1,20265.8,7
Safe (PyCryptodome),1,2385.2,7
Vulnerable (Naive),1,23467.4,8
Safe (PyCryptodome),1,2288.8,8
Vulnerable (Naive),1,41267.0,9
Safe (PyCryptodome),1,6526.6,9
Vulnerable (Naive),1,42460.8,10
Safe (PyCryptodome),1,2429.6,10
Vulnerable (Naive),1,21545.8,11
Safe (PyCryptodome),1,2443.2,11
Vulnerable (Naive),1,23185.6,12
Safe (PyCryptodome),1,2363.0,12
Vulnerable (Naive),1,35952.4,13
Safe (PyCryptodome),1,4379.4,13
Vulnerable (Naive),1,30832.4,14
Safe (PyCryptodome),1,2180.8,14
Vulnerable (Naive),1,20032.0,15
Safe (PyCryptodome),1,2773.2,15
Vulnerable (Naive),1,21566.2,16
Safe (PyCryptodome),1,2333.0,16
Vulnerable (Naive),1,29486.8,17
Safe (PyCryptodome),1,2160.2,17
Vulnerable (Naive),1,24044.6,18
Safe (PyCryptodome),1,2234.6,18
Vulnerable (Naive),1,28693.2,19
Safe (PyCryptodome),1,2228.6,19
Vulnerable (Naive),1,26209.8,20
Safe (PyCryptodome),1,2302.8,20
Vulnerable (Naive),1,43079.4,21
Safe (PyCryptodome),1,4552.4,21
Vulnerable (Naive),1,43869.4,22
Safe (PyCryptodome),1,3313.0,22
Vulnerable (Naive),1,29867.6,23
Safe (PyCryptodome),1,3553.0,23
